iter	Passed	Remaining
0	1	189
1	3	167
2	6	209
3	7	187
4	9	180
5	11	178
6	13	174
7	14	168
8	16	164
9	17	158
10	19	157
11	20	153
12	22	150
13	23	146
14	25	142
15	27	146
16	29	145
17	31	142
18	32	139
19	34	137
20	36	136
21	37	133
22	39	131
23	40	129
24	43	129
25	44	126
26	45	124
27	47	122
28	48	119
29	50	116
30	51	115
31	53	113
32	55	112
33	57	111
34	58	108
35	59	106
36	61	104
37	62	102
38	64	101
39	66	100
40	68	98
41	68	95
42	70	93
43	72	92
44	74	90
45	75	88
46	76	86
47	78	84
48	79	83
49	81	81
50	83	79
51	84	78
52	86	76
53	87	74
54	88	72
55	90	71
56	91	69
57	93	67
58	94	65
59	96	64
60	97	62
61	98	60
62	100	58
63	101	57
64	103	55
65	104	54
66	106	52
67	108	50
68	109	49
69	111	47
70	112	46
71	114	44
72	115	42
73	117	41
74	118	39
75	120	37
76	121	36
77	123	34
78	124	33
79	126	31
80	128	30
81	129	28
82	131	26
83	132	25
84	134	23
85	135	22
86	137	20
87	138	18
88	140	17
89	141	15
90	143	14
91	144	12
92	146	10
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	155	1
99	156	0
